Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Monday 6 February 2023,01:30,Clear,3°,7,60%,1027 hPa
Monday 6 February 2023,02:00,Clear,1°,2,69%,1027 hPa
Monday 6 February 2023,02:30,Clear,0°,2,74%,1026 hPa
Monday 6 February 2023,03:00,Clear,1°,6,69%,1027 hPa
Monday 6 February 2023,03:30,Clear,0°,7,74%,1026 hPa
Monday 6 February 2023,04:00,Clear,1°,7,69%,1026 hPa
Monday 6 February 2023,04:30,Clear,0°,Calm,74%,1026 hPa
Monday 6 February 2023,05:00,Clear,0°,6,74%,1025 hPa
Monday 6 February 2023,05:30,Clear,-1°,6,74%,1025 hPa
Monday 6 February 2023,06:00,Clear,-1°,4,74%,1024 hPa
Monday 6 February 2023,06:30,Clear,-1°,6,74%,1024 hPa
Monday 6 February 2023,07:00,Clear,-2°,2,80%,1024 hPa
Monday 6 February 2023,07:30,Clear,-2°,4,80%,1024 hPa
Monday 6 February 2023,08:00,Clear,-2°,4,74%,1023 hPa
Monday 6 February 2023,08:30,Clear,-2°,Calm,80%,1024 hPa
Monday 6 February 2023,09:00,Clear,-2°,2,80%,1024 hPa
Monday 6 February 2023,09:30,Clear,0°,4,74%,1023 hPa
Monday 6 February 2023,10:00,Clear,1°,4,69%,1023 hPa
Monday 6 February 2023,10:30,Clear,3°,4,65%,1023 hPa
Monday 6 February 2023,11:00,Clear,5°,7,56%,1024 hPa
Monday 6 February 2023,11:30,Clear,9°,19,>,46 31% 1024 hPa
Monday 6 February 2023,12:00,Clear,9°,22,>,44 34% 1024 hPa
Monday 6 February 2023,12:30,Clear,10°,19,>,41 34% 1024 hPa
Monday 6 February 2023,13:00,Clear,10°,19,>,39 37% 1023 hPa
Monday 6 February 2023,13:30,Clear,10°,17,>,35 40% 1023 hPa
Monday 6 February 2023,14:00,Clear,10°,13,40%,1023 hPa
Monday 6 February 2023,14:30,Clear,11°,15,37%,1022 hPa
Monday 6 February 2023,15:00,Clear,11°,13,35%,1022 hPa
Monday 6 February 2023,15:30,Clear,12°,13,>,32 35% 1022 hPa
Monday 6 February 2023,16:00,Clear,12°,13,32%,1022 hPa
Monday 6 February 2023,16:30,Clear,12°,13,32%,1022 hPa
Monday 6 February 2023,17:00,Clear,12°,11,32%,1022 hPa
Monday 6 February 2023,17:30,Fair,11°,9,37%,1022 hPa
Monday 6 February 2023,18:00,Partly Cloudy,11°,11,37%,1022 hPa
Monday 6 February 2023,18:30,Partly Cloudy,9°,20,57%,1023 hPa
Monday 6 February 2023,19:00,Partly Cloudy,8°,19,61%,1023 hPa
Monday 6 February 2023,19:30,Partly Cloudy,8°,9,61%,1023 hPa
Monday 6 February 2023,20:00,Mostly Cloudy,8°,6,61%,1024 hPa
Monday 6 February 2023,20:30,Mostly Cloudy,7°,6,66%,1024 hPa
Monday 6 February 2023,21:00,Mostly Cloudy,7°,6,66%,1024 hPa
Monday 6 February 2023,21:30,Mostly Cloudy,7°,6,66%,1024 hPa
Monday 6 February 2023,22:00,Mostly Cloudy,7°,4,66%,1024 hPa
Monday 6 February 2023,22:30,Mostly Cloudy,6°,4,61%,1024 hPa
Monday 6 February 2023,23:00,Mostly Cloudy,6°,6,61%,1024 hPa
Monday 6 February 2023,23:30,Mostly Cloudy,5°,6,65%,1024 hPa
Tuesday 7 February 2023,00:00,Mostly Cloudy,4°,6,65%,1024 hPa
Tuesday 7 February 2023,00:30,Fair,4°,2,65%,1024 hPa
Tuesday 7 February 2023,01:00,Clear,4°,4,65%,1024 hPa
Tuesday 7 February 2023,01:30,Clear,3°,7,70%,1024 hPa
Tuesday 7 February 2023,02:00,Clear,3°,6,70%,1024 hPa
Tuesday 7 February 2023,02:30,Clear,2°,4,69%,1024 hPa
Tuesday 7 February 2023,03:00,Clear,3°,9,70%,1024 hPa
Tuesday 7 February 2023,03:30,Fair,3°,7,70%,1023 hPa
Tuesday 7 February 2023,04:00,Fair,2°,6,69%,1023 hPa
Tuesday 7 February 2023,04:30,Clear,1°,6,75%,1023 hPa
Tuesday 7 February 2023,05:00,Clear,2°,6,75%,1023 hPa
Tuesday 7 February 2023,05:30,Clear,1°,2,75%,1022 hPa
Tuesday 7 February 2023,06:00,Clear,1°,4,75%,1022 hPa
Tuesday 7 February 2023,06:30,Clear,-1°,2,86%,1022 hPa
Tuesday 7 February 2023,07:00,Clear,-1°,4,86%,1022 hPa
Tuesday 7 February 2023,07:30,Clear,-2°,4,86%,1022 hPa
Tuesday 7 February 2023,08:00,Clear,-2°,2,93%,1022 hPa
Tuesday 7 February 2023,08:30,Fair,-2°,4,93%,1022 hPa
Tuesday 7 February 2023,09:00,Mostly Cloudy,-1°,4,93%,1022 hPa
Tuesday 7 February 2023,09:30,Mostly Cloudy,0°,6,86%,1023 hPa
Tuesday 7 February 2023,10:00,Mostly Cloudy,1°,6,80%,1023 hPa
Tuesday 7 February 2023,10:30,Mostly Cloudy,2°,7,75%,1022 hPa
Tuesday 7 February 2023,11:00,Mostly Cloudy,3°,6,70%,1022 hPa
Tuesday 7 February 2023,11:30,Mostly Cloudy,3°,Calm,70%,1022 hPa
Tuesday 7 February 2023,12:00,Mostly Cloudy,5°,4,65%,1022 hPa
Tuesday 7 February 2023,12:30,Mostly Cloudy,7°,4,57%,1021 hPa
Tuesday 7 February 2023,13:00,Partly Cloudy,8°,4,57%,1021 hPa
Tuesday 7 February 2023,13:30,Partly Cloudy,9°,2,53%,1021 hPa
Tuesday 7 February 2023,14:00,Partly Cloudy,8°,6,53%,1020 hPa
Tuesday 7 February 2023,14:30,Mostly Cloudy,9°,6,53%,1020 hPa
Tuesday 7 February 2023,15:00,Mostly Cloudy,9°,7,53%,1019 hPa
Tuesday 7 February 2023,15:30,Mostly Cloudy,8°,6,57%,1019 hPa
Tuesday 7 February 2023,16:00,Mostly Cloudy,9°,2,53%,1019 hPa
Tuesday 7 February 2023,16:30,Mostly Cloudy,9°,4,53%,1018 hPa
Tuesday 7 February 2023,17:00,Partly Cloudy,10°,4,46%,1018 hPa
Tuesday 7 February 2023,17:30,Partly Cloudy,9°,4,53%,1018 hPa
Tuesday 7 February 2023,18:00,Mostly Cloudy,8°,6,57%,1018 hPa
Tuesday 7 February 2023,18:30,Mostly Cloudy,8°,6,57%,1019 hPa
Tuesday 7 February 2023,19:00,Light Rain,6°,19,81%,1019 hPa
Tuesday 7 February 2023,19:30,Light Rain,6°,13,81%,1019 hPa
Tuesday 7 February 2023,20:00,Light Rain,6°,11,81%,1020 hPa
Tuesday 7 February 2023,20:30,Rain,5°,4,87%,1020 hPa
Tuesday 7 February 2023,20:45,Rain,5°,4,87%,1020 hPa
Tuesday 7 February 2023,21:00,Mostly Cloudy,5°,6,87%,1020 hPa
Tuesday 7 February 2023,21:30,Mostly Cloudy,5°,4,87%,1020 hPa
Tuesday 7 February 2023,22:00,Mostly Cloudy,5°,6,87%,1020 hPa
Tuesday 7 February 2023,22:30,Mostly Cloudy,5°,4,81%,1021 hPa
Tuesday 7 February 2023,23:00,Mostly Cloudy,5°,4,87%,1021 hPa
Tuesday 7 February 2023,23:30,Mostly Cloudy,5°,6,70%,1021 hPa
Wednesday 8 February 2023,00:00,Mostly Cloudy,4°,7,70%,1021 hPa
Wednesday 8 February 2023,00:30,Mostly Cloudy,3°,6,75%,1022 hPa
Wednesday 8 February 2023,01:00,Mostly Cloudy,3°,7,75%,1022 hPa
Wednesday 8 February 2023,01:30,Mostly Cloudy,2°,7,80%,1022 hPa
Wednesday 8 February 2023,02:00,Mostly Cloudy,3°,9,75%,1022 hPa
Wednesday 8 February 2023,02:30,Mostly Cloudy,3°,7,75%,1023 hPa
Wednesday 8 February 2023,03:00,Mostly Cloudy,3°,7,75%,1023 hPa
Wednesday 8 February 2023,03:30,Mostly Cloudy,3°,7,75%,1023 hPa
Wednesday 8 February 2023,04:00,Mostly Cloudy,4°,9,70%,1023 hPa
Wednesday 8 February 2023,04:30,Mostly Cloudy,4°,9,70%,1023 hPa
Wednesday 8 February 2023,05:00,Mostly Cloudy,3°,9,75%,1023 hPa
Wednesday 8 February 2023,05:30,Partly Cloudy,3°,6,75%,1023 hPa
Wednesday 8 February 2023,06:00,Mostly Cloudy,2°,6,80%,1023 hPa
Wednesday 8 February 2023,06:30,Mostly Cloudy,3°,7,75%,1023 hPa
Wednesday 8 February 2023,07:00,Mostly Cloudy,3°,7,75%,1023 hPa
Wednesday 8 February 2023,08:00,Mostly Cloudy,3°,13,75%,1024 hPa
Wednesday 8 February 2023,08:30,Mostly Cloudy,3°,9,81%,1024 hPa
Wednesday 8 February 2023,09:00,Partly Cloudy,4°,9,75%,1024 hPa
Wednesday 8 February 2023,09:30,Mostly Cloudy,4°,11,75%,1025 hPa
Wednesday 8 February 2023,10:00,Mostly Cloudy,5°,9,75%,1025 hPa
Wednesday 8 February 2023,10:30,Mostly Cloudy,6°,9,70%,1025 hPa
Wednesday 8 February 2023,11:00,Mostly Cloudy,7°,6,66%,1025 hPa
Wednesday 8 February 2023,11:30,Mostly Cloudy,8°,7,61%,1025 hPa
Wednesday 8 February 2023,12:00,Partly Cloudy,9°,9,57%,1025 hPa
Wednesday 8 February 2023,12:30,Partly Cloudy,10°,11,53%,1025 hPa
Wednesday 8 February 2023,13:00,Mostly Cloudy,10°,11,53%,1025 hPa
Wednesday 8 February 2023,13:30,Mostly Cloudy,10°,9,53%,1024 hPa
Wednesday 8 February 2023,14:00,Mostly Cloudy,10°,9,57%,1024 hPa
Wednesday 8 February 2023,14:30,Mostly Cloudy,10°,7,57%,1024 hPa
Wednesday 8 February 2023,15:00,Mostly Cloudy,11°,6,54%,1024 hPa
Wednesday 8 February 2023,15:30,Mostly Cloudy,11°,4,54%,1024 hPa
Wednesday 8 February 2023,16:00,Mostly Cloudy,11°,4,54%,1024 hPa
Wednesday 8 February 2023,16:30,Mostly Cloudy,11°,4,50%,1024 hPa
Wednesday 8 February 2023,17:00,Mostly Cloudy,11°,2,50%,1024 hPa
Wednesday 8 February 2023,17:30,Mostly Cloudy,11°,Calm,54%,1024 hPa
Wednesday 8 February 2023,18:00,Fair,11°,Calm,54%,1024 hPa
