Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Tuesday 4 April 2023,09:30,Clear,9°,7,40%,1014 hPa
Tuesday 4 April 2023,10:00,Clear,10°,9,37%,1015 hPa
Tuesday 4 April 2023,10:30,Clear,12°,9,32%,1015 hPa
Tuesday 4 April 2023,11:00,Clear,13°,13,30%,1015 hPa
Tuesday 4 April 2023,11:30,Clear,14°,11,24%,1015 hPa
Tuesday 4 April 2023,12:00,Clear,15°,15,21%,1015 hPa
Tuesday 4 April 2023,12:30,Clear,16°,13,23%,1015 hPa
Tuesday 4 April 2023,13:00,Clear,17°,20,19%,1015 hPa
Tuesday 4 April 2023,13:30,Clear,18°,19,19%,1015 hPa
Tuesday 4 April 2023,14:00,Clear,19°,17,>,37 9% 1015 hPa
Tuesday 4 April 2023,14:30,Clear,19°,17,>,35 10% 1014 hPa
Tuesday 4 April 2023,15:00,Clear,19°,19,>,37 9% 1014 hPa
Tuesday 4 April 2023,15:30,Clear,19°,17,>,37 10% 1014 hPa
Tuesday 4 April 2023,16:00,Clear,20°,17,>,37 13% 1014 hPa
Tuesday 4 April 2023,16:30,Clear,21°,17,10%,1013 hPa
Tuesday 4 April 2023,17:00,Clear,21°,19,9%,1013 hPa
Tuesday 4 April 2023,17:30,Clear,21°,15,9%,1013 hPa
Tuesday 4 April 2023,18:00,Clear,21°,17,>,37 10% 1013 hPa
Tuesday 4 April 2023,18:30,Clear,21°,15,9%,1013 hPa
Tuesday 4 April 2023,19:00,Clear,20°,22,>,41 10% 1013 hPa
Tuesday 4 April 2023,19:30,Clear,19°,15,>,35 9% 1014 hPa
Tuesday 4 April 2023,20:00,Clear,19°,17,10%,1014 hPa
Tuesday 4 April 2023,20:30,Clear,18°,15,9%,1015 hPa
Tuesday 4 April 2023,21:00,Clear,16°,13,10%,1015 hPa
Tuesday 4 April 2023,21:30,Clear,16°,11,11%,1016 hPa
Tuesday 4 April 2023,22:00,Clear,15°,15,13%,1016 hPa
Tuesday 4 April 2023,22:30,Clear,14°,17,14%,1017 hPa
Tuesday 4 April 2023,23:00,Clear,14°,13,16%,1017 hPa
Tuesday 4 April 2023,23:30,Clear,13°,13,18%,1018 hPa
Wednesday 5 April 2023,00:00,Clear,13°,11,18%,1018 hPa
Wednesday 5 April 2023,00:30,Clear,12°,11,19%,1018 hPa
Wednesday 5 April 2023,01:00,Clear,12°,11,19%,1019 hPa
Wednesday 5 April 2023,01:30,Clear,11°,9,22%,1019 hPa
Wednesday 5 April 2023,02:00,Clear,9°,7,25%,1019 hPa
Wednesday 5 April 2023,02:30,Clear,9°,9,25%,1019 hPa
Wednesday 5 April 2023,03:00,Clear,9°,15,23%,1018 hPa
Wednesday 5 April 2023,03:30,Clear,10°,7,21%,1019 hPa
Wednesday 5 April 2023,04:00,Clear,7°,7,26%,1019 hPa
Wednesday 5 April 2023,04:30,Clear,6°,6,28%,1019 hPa
