Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Friday 4 August 2023,09:30,Clear,18°,15,49%,1022 hPa
Friday 4 August 2023,10:00,Clear,19°,11,46%,1022 hPa
Friday 4 August 2023,10:30,Clear,19°,11,46%,1022 hPa
Friday 4 August 2023,11:00,Clear,20°,15,40%,1022 hPa
Friday 4 August 2023,11:30,Fair,21°,15,38%,1022 hPa
Friday 4 August 2023,12:00,Clear,22°,17,35%,1022 hPa
Friday 4 August 2023,12:30,Clear,23°,11,33%,1022 hPa
Friday 4 August 2023,13:00,Clear,24°,9,>,28 31% 1022 hPa
Friday 4 August 2023,13:30,Clear,24°,13,29%,1022 hPa
Friday 4 August 2023,14:00,Clear,25°,9,28%,1022 hPa
Friday 4 August 2023,14:30,Clear,26°,11,26%,1021 hPa
Friday 4 August 2023,15:00,Clear,27°,13,23%,1021 hPa
Friday 4 August 2023,15:30,Clear,28°,17,20%,1021 hPa
Friday 4 August 2023,16:00,Clear,28°,11,22%,1021 hPa
Friday 4 August 2023,16:30,Clear,28°,17,19%,1021 hPa
Friday 4 August 2023,17:00,Clear,29°,13,16%,1020 hPa
Friday 4 August 2023,17:30,Clear,29°,17,18%,1020 hPa
Friday 4 August 2023,18:00,Clear,29°,17,19%,1020 hPa
Friday 4 August 2023,18:30,Clear,29°,13,20%,1020 hPa
Friday 4 August 2023,19:00,Clear,29°,19,19%,1020 hPa
Friday 4 August 2023,19:30,Clear,28°,19,20%,1020 hPa
Friday 4 August 2023,20:00,Clear,28°,24,20%,1020 hPa
Friday 4 August 2023,20:30,Clear,27°,22,23%,1021 hPa
Friday 4 August 2023,21:00,Clear,26°,20,23%,1021 hPa
Friday 4 August 2023,21:30,Clear,25°,22,>,41 26% 1021 hPa
Friday 4 August 2023,22:00,Clear,24°,22,25%,1022 hPa
Friday 4 August 2023,22:30,Clear,23°,20,27%,1022 hPa
Friday 4 August 2023,23:00,Clear,23°,15,29%,1023 hPa
Friday 4 August 2023,23:30,Clear,22°,17,31%,1023 hPa
Saturday 5 August 2023,00:00,Clear,22°,11,31%,1023 hPa
Saturday 5 August 2023,00:30,Clear,22°,13,33%,1023 hPa
Saturday 5 August 2023,01:00,Clear,21°,11,38%,1023 hPa
Saturday 5 August 2023,01:30,Clear,20°,9,40%,1024 hPa
Saturday 5 August 2023,02:00,Clear,19°,9,43%,1024 hPa
Saturday 5 August 2023,02:30,Clear,19°,11,46%,1024 hPa
Saturday 5 August 2023,03:00,Clear,18°,9,49%,1024 hPa
Saturday 5 August 2023,03:30,Clear,17°,2,52%,1024 hPa
Saturday 5 August 2023,04:00,Clear,17°,4,52%,1023 hPa
Saturday 5 August 2023,04:30,Clear,17°,7,52%,1023 hPa
Saturday 5 August 2023,05:00,Clear,16°,9,51%,1023 hPa
Saturday 5 August 2023,05:30,Clear,16°,6,55%,1023 hPa
Saturday 5 August 2023,06:00,Clear,15°,6,59%,1023 hPa
Saturday 5 August 2023,06:30,Clear,15°,4,59%,1023 hPa
Saturday 5 August 2023,07:00,Clear,14°,2,58%,1023 hPa
Saturday 5 August 2023,07:30,Clear,14°,2,63%,1023 hPa
Saturday 5 August 2023,08:00,Clear,15°,4,59%,1023 hPa
Saturday 5 August 2023,08:30,Clear,16°,6,55%,1023 hPa
Saturday 5 August 2023,09:00,Clear,17°,6,52%,1023 hPa
Saturday 5 August 2023,09:30,Clear,17°,7,52%,1023 hPa
Saturday 5 August 2023,10:00,Clear,19°,11,46%,1023 hPa
Saturday 5 August 2023,10:30,Clear,20°,9,40%,1023 hPa
Saturday 5 August 2023,11:00,Clear,21°,7,38%,1023 hPa
Saturday 5 August 2023,11:30,Clear,22°,6,38%,1023 hPa
Saturday 5 August 2023,12:00,Clear,23°,6,33%,1023 hPa
Saturday 5 August 2023,12:30,Clear,25°,6,30%,1022 hPa
Saturday 5 August 2023,13:00,Clear,25°,7,28%,1022 hPa
Saturday 5 August 2023,13:30,Clear,27°,6,24%,1021 hPa
Saturday 5 August 2023,14:00,Clear,28°,6,23%,1021 hPa
Saturday 5 August 2023,14:30,Clear,29°,7,22%,1021 hPa
Saturday 5 August 2023,15:00,Clear,30°,7,19%,1020 hPa
Saturday 5 August 2023,15:30,Clear,32°,6,17%,1020 hPa
Saturday 5 August 2023,16:00,Clear,31°,6,18%,1020 hPa
Saturday 5 August 2023,16:30,Clear,33°,6,16%,1019 hPa
Saturday 5 August 2023,17:00,Clear,32°,7,17%,1019 hPa
Saturday 5 August 2023,17:30,Clear,33°,4,17%,1018 hPa
Saturday 5 August 2023,18:00,Clear,34°,6,15%,1018 hPa
Saturday 5 August 2023,18:30,Clear,33°,4,16%,1018 hPa
Saturday 5 August 2023,19:00,Clear,34°,7,16%,1018 hPa
Saturday 5 August 2023,19:30,Clear,35°,4,16%,1018 hPa
Saturday 5 August 2023,20:00,Clear,34°,6,16%,1018 hPa
Saturday 5 August 2023,20:30,Clear,35°,Calm,16%,1018 hPa
Saturday 5 August 2023,21:00,Clear,33°,2,17%,1018 hPa
Saturday 5 August 2023,21:30,Clear,31°,6,21%,1018 hPa
Saturday 5 August 2023,22:00,Clear,30°,7,22%,1018 hPa
Saturday 5 August 2023,22:30,Clear,29°,7,23%,1018 hPa
Saturday 5 August 2023,23:00,Clear,29°,9,23%,1019 hPa
